Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Standard M1 Belgium,7DD0-EFE1-0F5B,"21,504",gibibyte hour,629.28,0.00,0.00,0.00,629.280000,629.28
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Frankfurt for 1 Year,8C12-1625-BCF1,"57,120.189",hour,439.38,0.00,0.00,0.00,439.380000,439.38
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Standard storage in EMEA,D901-4910-1FD2,"4,113.457",gibibyte month,482.59,0.00,0.00,0.00,482.590000,482.59
2026-02,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,"34,874.588",gibibyte month,418.00,0.00,0.00,0.00,418.000000,418.00
2026-02,Compute Engine,6F81-5844-456A,N2 Instance Core running in EMEA,9F61-45D7-D4FB,"259,628.602",hour,3121.61,0.00,-2523.61,-77.09,520.910000,520.91
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: N2 Cpu in Frankfurt for 1 Year,02D4-3158-71D0,"45,696.151",hour,418.84,0.00,0.00,0.00,418.840000,418.84
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Extended support vCPU v12 in Belgium,6463-DB95-0004,"8,064",hour,408.09,0.00,0.00,0.00,408.090000,408.09
2026-02,Cloud Monitoring,58CD-E7C3-72CA,Time series billed count,6E35-67F5-C3C6,"2,257,675,205",count,337.19,0.00,0.00,0.00,337.190000,337.19
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Standard M3 Belgium,D95A-0869-7E1E,"21,504",gibibyte hour,334.94,0.00,0.00,0.00,334.940000,334.94
2026-02,Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,"10,026.709",gibibyte month,313.60,0.00,0.00,0.00,313.600000,313.60
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to EMEA,5B70-B2D6-B4FC,"8,984.059",gibibyte,349.90,0.00,0.00,0.00,349.900000,349.90
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Belgium,ED04-130F-C092,"19,488",gibibyte hour,310.16,0.00,0.00,0.00,310.160000,310.16
2026-02,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,"88,463.336",gibibyte,321.97,0.00,0.00,0.00,321.970000,321.97
2026-02,Compute Engine,6F81-5844-456A,N2 Instance Ram running in EMEA,A109-54C1-7CB0,"1,164,852.88",gibibyte hour,1725.42,0.00,-1400.35,-55.27,269.800000,269.80
2026-02,Compute Engine,6F81-5844-456A,Multi-regional Snapshot download within Europe,E88A-EDE0-A8FD,"43,284.155",gibibyte,266.71,0.00,0.00,0.00,266.710000,266.71
2026-02,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Europe,D46A-868A-BBF7,"42,872.129",gibibyte,295.13,0.00,0.00,0.00,295.130000,295.13
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Ram in Frankfurt for 1 Year,197D-B8ED-C220,"227,808.753",gibibyte hour,277.90,0.00,0.00,0.00,277.900000,277.90
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Frankfurt,A9C0-BADB-1C34,"75,885.735",hour,968.97,0.00,-813.75,-28.27,126.950000,126.95
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support vCPU v10 in Belgium,EDB9-BAC4-5BA1,"10,505.47",hour,252.25,0.00,0.00,0.00,252.250000,252.25
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Standard storage in EMEA,B14E-2B60-F10B,"4,318.373",gibibyte month,232.01,0.00,0.00,0.00,232.010000,232.01
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - vCPU in EMEA,2154-E036-4CB2,"17,096.496",hour,213.10,0.00,0.00,0.00,213.100000,213.10
2026-02,BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API Network Internet Data Transfer Out Europe to Europe,40E7-9810-A7DF,"5,997.494",gibibyte,229.92,0.00,0.00,0.00,229.920000,229.92
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: N2 Ram in Frankfurt for 1 Year,C38C-50A1-5993,"183,456.607",gibibyte hour,213.44,0.00,0.00,0.00,213.440000,213.44
2026-02,BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,"30,626.948",gibibyte month,208.85,0.00,0.00,0.00,208.850000,208.85
2026-02,Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"805,134,678",count,200.57,0.00,0.00,0.00,200.570000,200.57
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in Frankfurt for 1 Year,81F4-F28C-7312,"30,912.102",hour,196.09,0.00,0.00,0.00,196.090000,196.09
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Frankfurt,5C8C-3C2D-B331,"321,361.798",gibibyte hour,578.42,0.00,-421.74,-18.50,138.180000,138.18
2026-02,Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"99,329.474",hour,176.33,0.00,0.00,0.00,176.330000,176.33
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in Frankfurt for 1 Year,74A6-EA95-B3F0,"189,504.627",gibibyte hour,142.07,0.00,0.00,0.00,142.070000,142.07
2026-02,Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to Europe,2A8D-245C-0E0B,"5,461.078",gibibyte,135.66,0.00,0.00,0.00,135.660000,135.66
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - RAM in EMEA,8A88-5E4B-2265,"56,488.247",gibibyte hour,121.22,0.00,0.00,0.00,121.220000,121.22
2026-02,Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,"8,418.574",gibibyte,131.85,0.00,0.00,0.00,131.850000,131.85
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in EMEA for 1 Year,D1E6-0FB3-0BF6,"23,520.078",hour,110.44,0.00,0.00,0.00,110.440000,110.44
2026-02,Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Finland,4C09-1F46-D168,"1,900",gibibyte month,119.16,0.00,0.00,0.00,119.160000,119.16
2026-02,Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Core running in EMEA,04D9-CEFB-F0AA,"33,587.754",hour,112.69,0.00,0.00,0.00,112.690000,112.69
2026-02,Kubernetes Engine,CCD8-9BF1-090E,Regional Kubernetes Clusters,B561-BFBD-1264,"3,359.998",hour,118.49,0.00,0.00,0.00,118.490000,118.49
2026-02,Networking,E505-1604-58F8,Networking Cloud Armor Rule,A321-89BD-F5BC,322,month,98.38,0.00,0.00,0.00,98.380000,98.38
2026-02,VM Manager,5E18-9A83-2867,VM Manager Usage,785A-57EB-25E2,"180,581",count,111.56,0.00,0.00,0.00,111.560000,111.56
2026-02,Compute Engine,6F81-5844-456A,Storage PD Capacity in Frankfurt,7A7B-EA46-2897,"6,306.819",gibibyte month,107.86,0.00,0.00,0.00,107.860000,107.86
2026-02,Compute Engine,6F81-5844-456A,E2 Instance Core running in EMEA,9FE0-8F60-A9F0,"36,131.515",hour,271.67,0.00,-177.20,0.00,94.470000,94.47
2026-02,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,"3,691.755",gibibyte month,92.84,0.00,0.00,0.00,92.840000,92.84
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support vCPU v12 in Belgium,A40A-F70D-ADBD,"4,032",hour,94.99,0.00,0.00,0.00,94.990000,94.99
2026-02,Kubernetes Engine,CCD8-9BF1-090E,Zonal Kubernetes Clusters,6B92-A835-08AB,"3,359.529",hour,104.37,0.00,0.00,-25.09,79.280000,79.28
2026-02,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Europe,CB83-3C2D-160D,"12,673.87",gibibyte,92.29,0.00,0.00,0.00,92.290000,92.29
2026-02,Networking,E505-1604-58F8,Networking Cloud Armor Policy,4B13-E64F-4A2B,46,month,80.32,0.00,0.00,0.00,80.320000,80.32
2026-02,Networking,E505-1604-58F8,Regional Internal Application Load Balancer Proxy Instance Charge for Frankfurt (europe-west3),84AE-F103-DC62,"8,835.5",hour,66.86,0.00,0.00,0.00,66.860000,66.86
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Enterprise Plus N RAM in EMEA,5149-8F2A-9799,"21,504",gibibyte hour,70.92,0.00,0.00,0.00,70.920000,70.92
2026-02,Cloud DNS,FA26-5236-B8B5,DNS Query (port 53),6DFF-5025-A128,"470,827,642",count,67.94,0.00,0.00,0.00,67.940000,67.94
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Enterprise Plus Extended support vCPU v12 in Belgium,342A-B17C-9A82,"2,688",hour,56.64,0.00,0.00,0.00,56.640000,56.64
2026-02,Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Ram running in EMEA,10A0-7F67-697B,"125,954.244",gibibyte hour,61.19,0.00,0.00,0.00,61.190000,61.19
2026-02,Compute Engine,6F81-5844-456A,E2 Instance Ram running in EMEA,F268-6CE7-AC16,"120,334.006",gibibyte hour,135.33,0.00,-75.03,0.00,60.300000,60.30
2026-02,Networking,E505-1604-58F8,Firewall Insights evaluation charge per rule after initial run,CC38-E2C0-A4C8,"1,526",count,50.50,0.00,0.00,0.00,50.500000,50.50
2026-02,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,"6,048",hour,50.03,0.00,0.00,0.00,50.030000,50.03
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Enterprise Plus N vCPU in EMEA,2B6D-62D5-B1EF,"2,688",hour,50.30,0.00,0.00,0.00,50.300000,50.30
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in EMEA for 1 Year,C369-CFFC-6CBC,"71,232.236",gibibyte hour,47.70,0.00,0.00,0.00,47.700000,47.70
2026-02,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional for Belgium (europe-west1),691D-CC7F-C2FD,"13,505.642",hour,44.54,0.00,0.00,0.00,44.540000,44.54
2026-02,Compute Engine,6F81-5844-456A,Multi-regional Snapshot upload within Europe,E7F1-6532-8F2E,"6,278.058",gibibyte,38.02,0.00,0.00,0.00,38.020000,38.02
2026-02,Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,"89,419.399",hour,45.68,0.00,0.00,0.00,45.680000,45.68
2026-02,Compute Engine,6F81-5844-456A,Storage Image,DAA2-253C-6680,"2,439.572",gibibyte month,39.46,0.00,0.00,0.00,39.460000,39.46
2026-02,Cloud Storage,95FF-2EF5-5EA1,Coldline Storage Europe Multi-region,6CCC-4CDD-383C,"15,819.378",gibibyte month,36.41,0.00,0.00,0.00,36.410000,36.41
2026-02,Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Core running in Frankfurt,9932-86F9-C0C7,"10,777.409",hour,37.03,0.00,0.00,0.00,37.030000,37.03
2026-02,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Belgium (europe-west1),5199-D194-B502,"4,032",hour,31.33,0.00,0.00,0.00,31.330000,31.33
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support vCPU v11 in Belgium,1511-0815-2FC2,"1,319.069",hour,30.69,0.00,0.00,0.00,30.690000,30.69
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to Americas,A259-FE21-4125,752.128,gibibyte,29.18,0.00,0.00,0.00,29.180000,29.18
2026-02,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,"8,672,476",count,26.48,0.00,0.00,0.00,26.480000,26.48
2026-02,Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,"28,673,982",count,26.79,0.00,0.00,0.00,26.790000,26.79
2026-02,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to EMEA,290E-20E5-93E2,"4,291.915",gibibyte,28.62,0.00,0.00,0.00,28.620000,28.62
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,667.459,gibibyte,28.11,0.00,0.00,0.00,28.110000,28.11
2026-02,Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Paris,0BBD-3452-19A9,400,gibibyte month,26.29,0.00,0.00,0.00,26.290000,26.29
2026-02,Networking,E505-1604-58F8,Regional Internal Passthrough Network Load Balancer Outbound Data Processing for Belgium (europe-west1),B6D0-2F2E-0D68,"9,657.399",gibibyte,25.07,0.00,0.00,0.00,25.070000,25.07
2026-02,Compute Engine,6F81-5844-456A,Storage PD Snapshot,817F-F5A3-514E,"1,503.467",gibibyte month,25.00,0.00,0.00,0.00,25.000000,25.00
2026-02,Networking,E505-1604-58F8,Networking Cloud Cdn Cache Lookups,4762-E550-B5D2,"95,774,993",count,21.60,0.00,0.00,0.00,21.600000,21.60
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Frankfurt to EMEA,E7A9-CA47-A3E3,574.2,gibibyte,22.83,0.00,0.00,0.00,22.830000,22.83
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Standard M1 Frankfurt,5182-440C-D226,672,gibibyte hour,21.24,0.00,0.00,0.00,21.240000,21.24
2026-02,Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,"2,687.529",hour,18.41,0.00,0.00,0.00,18.410000,18.41
2026-02,Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,"11,672,569",count,20.79,0.00,0.00,0.00,20.790000,20.79
2026-02,Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,"139,758,860",count,17.60,0.00,0.00,0.00,17.600000,17.60
2026-02,Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Belgium (europe-west1),8AE2-BE75-D426,"6,890.408",gibibyte,17.51,0.00,0.00,0.00,17.510000,17.51
2026-02,Cloud Pub/Sub,A1E8-BE35-7EBC,Message Delivery Basic,027D-B6C7-CCA2,1.359,tebibyte,19.38,0.00,0.00,0.00,19.380000,19.38
2026-02,Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Ram running in Frankfurt,610C-22A1-AC4F,"40,415.335",gibibyte hour,18.17,0.00,0.00,0.00,18.170000,18.17
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Apac(Excluding Korea and Indonesia),378D-6896-1041,435.307,gibibyte,17.34,0.00,0.00,0.00,17.340000,17.34
2026-02,Cloud Storage,95FF-2EF5-5EA1,Archive Storage Europe Multi-region,5A75-E003-2CBF,"21,246.162",gibibyte month,18.11,0.00,0.00,0.00,18.110000,18.11
2026-02,Cloud Storage,95FF-2EF5-5EA1,Nearline Storage Europe Multi-region,4CF0-069A-15D9,"3,258.841",gibibyte month,15.57,0.00,0.00,0.00,15.570000,15.57
2026-02,Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,"4,714.292",hour,15.43,0.00,0.00,0.00,15.430000,15.43
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support g1-small v12 in Belgium,4A54-037B-4BE9,"1,344",hour,16.64,0.00,0.00,0.00,16.640000,16.64
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Extended support 1 vCPU + 3.75GB RAM v57 in Belgium,5C4A-C82F-AE12,672,hour,14.88,0.00,0.00,0.00,14.880000,14.88
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Small instance in EMEA,79B6-5148-74CC,"1,344",hour,14.56,0.00,0.00,0.00,14.560000,14.56
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - 1 vCPU + 3.75GB RAM in EMEA,286F-1408-A35E,672,hour,14.52,0.00,0.00,0.00,14.520000,14.52
2026-02,Cloud Key Management Service (KMS),EE2F-D110-890C,Active software symmetric key versions,E09C-32B3-9AC7,718.673,month,14.77,0.00,0.00,0.00,14.770000,14.77
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Enterprise Plus Standard Storage in EMEA,FC30-179E-B494,250,gibibyte month,14.76,0.00,0.00,0.00,14.760000,14.76
2026-02,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Frankfurt (europe-west3),C68C-D380-ED83,"1,344",hour,12.68,0.00,0.00,0.00,12.680000,12.68
2026-02,Networking,E505-1604-58F8,Networking Cloud NAT IP Usage,8515-9425-D2CE,"8,064",hour,14.06,0.00,0.00,0.00,14.060000,14.06
2026-02,Networking,E505-1604-58F8,Regional Internal Passthrough Network Load Balancer Inbound Data Processing for Belgium (europe-west1),EEE1-39DF-D18E,"4,833.175",gibibyte,13.65,0.00,0.00,0.00,13.650000,13.65
2026-02,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Belgium to Apac(Excluding Korea and Indonesia),6AA7-5747-901F,312.461,gibibyte,12.99,0.00,0.00,0.00,12.990000,12.99
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Frankfurt,2CC6-1C4D-692B,672,gibibyte hour,12.92,0.00,0.00,0.00,12.920000,12.92
2026-02,Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions Min-Instance CPU (Request-based billing) in europe-west1,CB05-7E0C-A9C7,"14,974,815.024",second,11.58,0.00,0.00,-1.36,10.220000,10.22
2026-02,Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,"10,750.118",gibibyte hour,9.85,0.00,0.00,0.00,9.850000,9.85
2026-02,App Engine,F17B-412E-CB64,Cloud Firestore Read Ops,FF6D-2156-62C2,"52,462,083",count,10.93,0.00,0.00,0.00,10.930000,10.93
2026-02,Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Belgium (europe-west1),352B-4670-13F6,"3,677.562",gibibyte,9.31,0.00,0.00,0.00,9.310000,9.31
2026-02,Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to North America,15AE-8E35-C42B,366.42,gibibyte,10.14,0.00,0.00,0.00,10.140000,10.14
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Small instance in Frankfurt,0E9D-4573-7A9A,672,hour,9.39,0.00,0.00,0.00,9.390000,9.39
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support g1-small v12 in Frankfurt,5688-5516-DC7D,672,hour,10.08,0.00,0.00,0.00,10.080000,10.08
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Serverless Exports in EMEA,BA0C-F087-7D28,"2,800",gibibyte,9.87,0.00,0.00,0.00,9.870000,9.87
2026-02,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,438.111,month,7.81,0.00,0.00,0.00,7.810000,7.81
2026-02,Compute Engine,6F81-5844-456A,Storage PD Capacity in Finland,CEF4-0773-7924,500,gibibyte month,7.43,0.00,0.00,0.00,7.430000,7.43
2026-02,Compute Engine,6F81-5844-456A,N2 Instance Core running in Frankfurt,53BB-FF1B-0C91,"40,502.446",hour,497.01,0.00,-581.22,-0.37,-84.580000,-84.58
2026-02,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,Container Images Scanned,BEA5-E1D1-4659,78,count,7.28,0.00,0.00,0.00,7.280000,7.28
2026-02,Compute Engine,6F81-5844-456A,Committed Use Discount Premium for Custom Instance Core running in Belgium,244D-301F-99D3,"22,051.833",hour,6.18,0.00,0.00,0.00,6.180000,6.18
2026-02,Cloud Storage,95FF-2EF5-5EA1,Coldline Storage Belgium,DB5F-944C-9031,"4,328.297",gibibyte month,5.31,0.00,0.00,0.00,5.310000,5.31
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - IP address reservation in EMEA,2DC7-81C8-697F,"1,680",hour,5.54,0.00,0.00,0.00,5.540000,5.54
2026-02,Compute Engine,6F81-5844-456A,Micro Instance with burstable CPU running in EMEA,5619-DD14-5F41,"2,687.147",hour,7.73,0.00,0.00,-2.38,5.350000,5.35
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Micro instance in EMEA,4C57-F0D3-6029,"1,344",hour,4.29,0.00,0.00,0.00,4.290000,4.29
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support vCPU v96 in Belgium,07EC-C8F4-89EF,199.973,hour,4.45,0.00,0.00,0.00,4.450000,4.45
2026-02,Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,202.666,mebibyte,4.74,0.00,0.00,0.00,4.740000,4.74
2026-02,Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,135,gibibyte month,4.78,0.00,0.00,0.00,4.780000,4.78
2026-02,Cloud Pub/Sub,A1E8-BE35-7EBC,Inter-region data delivery from EMEA to EMEA,9CFC-8FC8-FD42,648.873,gibibyte,4.70,0.00,0.00,0.00,4.700000,4.70
2026-02,Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,201.005,gibibyte,3.73,0.00,0.00,0.00,3.730000,3.73
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support f1-micro v13 in Belgium,50CC-02BD-924A,672,hour,4.31,0.00,0.00,0.00,4.310000,4.31
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Extended support f1-micro v12 in Belgium,69B7-3A1B-C161,672,hour,3.81,0.00,0.00,0.00,3.810000,3.81
2026-02,Compute Engine,6F81-5844-456A,N2 Instance Ram running in Frankfurt,A5A6-3EDC-7F3C,"162,002.332",gibibyte hour,293.66,0.00,-274.45,-0.16,19.050000,19.05
2026-02,Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - EMEA Based,F603-6008-38E5,188.235,gibibyte,2.98,0.00,0.00,0.00,2.980000,2.98
2026-02,Compute Engine,6F81-5844-456A,Storage PD Capacity in Paris,E083-93C6-55CD,200,gibibyte month,3.31,0.00,0.00,0.00,3.310000,3.31
2026-02,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"22,390,103",count,2.71,0.00,0.00,0.00,2.710000,2.71
2026-02,Networking,E505-1604-58F8,Regional Internal Application Load Balancer Inbound Data Processing for Belgium (europe-west1),BF24-44F1-F633,888.857,gibibyte,2.19,0.00,0.00,0.00,2.190000,2.19
2026-02,Networking,E505-1604-58F8,Regional Internal Application Load Balancer Outbound Data Processing for Belgium (europe-west1),1BBD-45CB-27B7,700.432,gibibyte,1.81,0.00,0.00,0.00,1.810000,1.81
2026-02,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,28,month,1.63,0.00,0.00,0.00,1.630000,1.63
2026-02,Compute Engine,6F81-5844-456A,Committed Use Discount Premium for Custom Instance Ram running in Belgium,CD72-EC22-D8E2,"46,992.988",gibibyte hour,1.65,0.00,0.00,0.00,1.650000,1.65
